,ID,N_VICTIMAS,FECHA,HORA,TIPO_DE_CALLE,Dirección Normalizada,COMUNA,pos x,pos y,VICTIMA,ACUSADO,Tipo
54,2016-0077,1,2016-06-13,1900-01-01 21:52:00,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.3702777,-34.60536123,PEATON,PASAJEROS,Cruce
55,2016-0078,1,2016-06-13,1900-01-01 23:01:00,AVENIDA,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.6146383,MOTO,MOTO,Cruce
56,2016-0079,1,2016-06-16,1900-01-01 17:13:00,AVENIDA,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO,AUTO,Cruce
57,2016-0080,1,2016-06-18,1900-01-01 06:42:00,GRAL PAZ,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO,SD,Cruce
58,2016-0081,1,2016-06-22,1900-01-01 07:42:00,AVENIDA,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.4872106,-34.55904606,MOTO,AUTO,Cruce
59,2016-0082,1,2016-06-27,1900-01-01 18:24:00,AVENIDA,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON,AUTO,Altura
60,2016-0083,1,2016-06-28,1900-01-01 20:46:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON,MOTO,Cruce
61,2016-0084,1,2016-06-29,1900-01-01 22:00:00,CALLE,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON,PASAJEROS,Cruce
62,2016-0085,1,2016-06-29,1900-01-01 22:00:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.657341,MOTO,OTRO,Cruce
63,2016-0086,1,2016-06-30,1900-01-01 16:10:00,AVENIDA,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON,PASAJEROS,Cruce
64,2016-0087,1,2016-07-02,1900-01-01 00:10:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO,Cruce
65,2016-0088,1,2016-07-11,1900-01-01 15:30:00,CALLE,CERETTI y NUÃ‘EZ,12,-58.5015175,-34.56767549,PEATON,AUTO,Cruce
66,2016-0089,1,2016-07-14,1900-01-01 06:40:00,AUTOPISTA,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,PEATON,AUTO,Cruce
67,2016-0090,1,2016-07-14,1900-01-01 22:00:00,AVENIDA,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.6111224,PEATON,PASAJEROS,Cruce
68,2016-0092,1,2016-07-15,1900-01-01 11:00:00,GRAL PAZ,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,CARGAS,Cruce
69,2016-0093,1,2016-07-17,1900-01-01 03:30:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO,AUTO,Cruce
70,2016-0095,1,2016-07-23,1900-01-01 06:12:00,AVENIDA,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,MOTO,AUTO,Cruce
71,2016-0096,1,2016-07-25,1900-01-01 07:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,Altura
72,2016-0097,1,2016-07-26,1900-01-01 18:45:00,CALLE,SOLIS y MEXICO,1,-58.39038605,-34.6156281,PEATON,AUTO,Cruce
73,2016-0098,1,2016-07-27,1900-01-01 16:08:00,AVENIDA,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,MOTO,CARGAS,Cruce
74,2016-0099,1,2016-07-29,1900-01-01 16:00:00,GRAL PAZ,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,CARGAS,CARGAS,Cruce
75,2016-0100,1,2016-08-03,1900-01-01 23:27:00,GRAL PAZ,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,Cruce
76,2016-0101,1,2016-08-07,1900-01-01 19:42:00,GRAL PAZ,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,SD,SD,Cruce
77,2016-0102,1,2016-08-10,1900-01-01 23:37:00,AVENIDA,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,MOTO,CARGAS,Cruce
78,2016-0104,1,2016-08-14,1900-01-01 21:15:00,AVENIDA,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,MOTO,PASAJEROS,Cruce
79,2016-0105,1,2016-08-17,1900-01-01 00:05:00,AVENIDA,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,PEATON,PASAJEROS,Cruce
80,2016-0106,1,2016-08-19,1900-01-01 21:02:00,AVENIDA,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,PEATON,PASAJEROS,Cruce
81,2016-0107,1,2016-08-20,1900-01-01 08:22:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO,AUTO,Cruce
82,2016-0109,1,2016-08-24,1900-01-01 05:45:00,AUTOPISTA,AUTOPISTA PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,AUTO,OBJETO FIJO,Cruce
83,2016-0110,1,2016-08-24,1900-01-01 20:21:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.6590353,PEATON,SD,Cruce
84,2016-0111,1,2016-08-25,1900-01-01 09:30:00,AUTOPISTA,LUGONES y LA PAMPA,15,-58.47461905,-34.57663634,MOTO,CARGAS,Cruce
85,2016-0112,1,2016-08-27,1900-01-01 04:40:00,AUTOPISTA,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,MOTO,OBJETO FIJO,Cruce
86,2016-0113,1,2016-08-27,1900-01-01 16:45:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,PEATON,PASAJEROS,Cruce
87,2016-0114,1,2016-08-31,1900-01-01 11:20:00,CALLE,"SALGUERO, JERONIMO 1410",14,-58.41848605,-34.59394733,BICICLETA,CARGAS,Altura
88,2016-0115,1,2016-09-02,1900-01-01 11:50:00,CALLE,ARIAS y TRONADOR,12,-58.48935041,-34.54917673,SD,CARGAS,Cruce
89,2016-0116,1,2016-09-02,1900-01-01 20:20:00,AVENIDA,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,AUTO,Cruce
90,2016-0117,1,2016-09-03,1900-01-01 15:30:00,AVENIDA,DEL LIBERTADOR AV. y TAGLE,14,-58.39936478,-34.58271474,AUTO,AUTO,Cruce
91,2016-0118,1,2016-09-04,1900-01-01 03:30:00,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,AUTO,AUTO,Altura
92,2016-0119,1,2016-09-04,1900-01-01 06:40:00,AVENIDA,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-58.49659234,-34.56353635,SD,SD,Cruce
93,2016-0122,1,2016-09-13,1900-01-01 07:10:00,AVENIDA,"PERON, EVA AV. 4233",9,-58.47256391,-34.65194557,BICICLETA,PASAJEROS,Altura
